GB0002404191,TR28
GB0004893086,TR32
GB0008932666,T30I
GB0008983024,T24I
GB0030880693,TR25
GB0031790826,T2IL
GB0032452392,T4Q
GB00B00NY175,TR38
GB00B06YGN05,TR4Q
GB00B0CNHZ09,TR8F
GB00B128DH60,T27
GB00B128DP45,T46
GB00B16NNR78,TR27
GB00B1L6W962,TR37
GB00B1VWPJ53,T42
GB00B24FF097,TR30
GB00B24FFM16,T47
GB00B39R3707,T49
GB00B3D4VD98,T32
GB00B3KJDS62,T39
GB00B3LZBF68,TR40
GB00B3MYD345,T42A
GB00B3Y1JG82,T29
GB00B421JZ66,TR50
GB00B46CGH68,TRTQ
GB00B4PTCY75,T62
GB00B52WS153,TR34
GB00B54QLM75,TR60
GB00B6460505,T40
GB00B6RNH572,T52
GB00B73ZYW09,TG52
GB00B7RN0G65,T44
GB00B84Z9V04,TG44
GB00B85SFQ54,TR24
GB00BBJNQY21,TR68
GB00BD0XH204,TG57
GB00BD9MZZ71,TR65
GB00BDCHBW80,TG47
GB00BDRHNP05,TG27
GB00BDX8CX86,T68
GB00BFMCN652,TG71
GB00BFWFPL34,TG24
GB00BFWFPP71,TG49
GB00BFX0ZL78,TG28
GB00BGDYHF49,T41
GB00BHBFH458,T24
GB00BJLR0J16,TR54
GB00BJMHB534,TR29
GB00BJQWYH73,TG41
GB00BK5CVX03,TG25
GB00BL68HH02,TG30
GB00BL68HJ26,T26
GB00BL6C7720,T27A
GB00BLBDX619,TR73
GB00BLH38158,T51A
GB00BLH38265,TG39
GB00BLPK7110,TN25
GB00BLPK7227,TG29
GB00BLPK7334,TR39
GB00BM8Z2S21,TG33
GB00BM8Z2T38,TG32
GB00BM8Z2V59,TG53
GB00BM8Z2W66,TG73
GB00BMBL1D50,TG61
GB00BMBL1F74,TG50
GB00BMBL1G81,TN28
GB00BMF9LF76,TR63
GB00BMF9LG83,TS28
GB00BMF9LH90,TR45
GB00BMF9LJ15,T33
GB00BMGR2791,TN24
GB00BMGR2809,TG31
GB00BMGR2916,TG35
GB00BMV7TC88,TR33
GB00BN65R313,T45
GB00BNNGP551,TR31
GB00BNNGP668,T26A
GB00BNNGP775,TG46
GB00BNNGP882,TG51
GB00BP9DLZ64,T58
GB00BPCJD880,TY25
GB00BPCJD997,T53
GB00BPJJKN53,T34
GB00BPJJKP77,TR43
GB00BQC4R999,TG38
GB00BTHH2R79,T25
GB00BYMWG366,TR46
GB00BYVP4K94,TR56
GB00BYY5F144,TR26
GB00BYYMZX75,TG65
GB00BYZW3G56,TG26
GB00BYZW3J87,TG36
GB00BZ13DV40,TG48
GB00BZ1NTB69,T28
GB00BZB26Y51,TG37
